period,scenario,hydro,geo,gas,wood
2025,Environmental,0.0,203.4,0.0,0.0
2025,Reference,0.0,203.4,0.0,0.0
2030,Environmental,173.96499999999997,271.4,148.28300000000002,0.0
2030,Reference,0.0,203.4,40.118,0.0
2035,Environmental,482.17799999999994,701.399,573.974,480.0
2035,Reference,103.51599999999999,413.113,82.083,0.0
2040,Environmental,724.9159999999999,907.107,639.1320000000001,480.0
2040,Reference,392.55499999999995,675.399,661.328,0.0
2045,Environmental,760.1279999999999,955.128,639.1320000000001,480.0
2045,Reference,633.433,725.399,1057.297,0.0
2050,Environmental,760.1279999999999,980.128,639.1320000000001,480.0
2050,Reference,797.906,789.11,1160.0,0.0
