Year,MW,Scenario,latitude,longitude
2039,175,Reference,-41.21279536,175.3979233
2045,109.314,Reference,-44.2630401,170.0323475
2046,168.686,Reference,-44.2630401,170.0323475
2038,113.648,Reference,-36.47442858,174.4480525
2039,46.352,Reference,-36.47442858,174.4480525
2043,53,Reference,-36.67985741,174.4659723
2039,170,Reference,-43.4874198,172.5373597
2034,52,Reference,-35.95352029,173.8448542
2025,42,Reference,-38.01955354,177.1996879
2044,32,Reference,-36.81810677,175.6822589
2036,300,Reference,-45.05381993,170.1022222
2037,95,Reference,-40.11009607,175.3590425
2031,100,Reference,-40.95547045,175.578437
2025,70,Reference,-39.91801515,176.4181267
2032,100,Reference,-39.91801515,176.4181267
2027,94,Reference,-39.45891599,173.868373
2046,64.342,Reference,-37.46437595,175.1203935
2027,250,Reference,-37.9961,176.8099
2026,147,Reference,-37.58814639,175.40966
2036,95.697,Reference,-44.28009809,170.1832642
2038,324.303,Reference,-44.28009809,170.1832642
2025,31,Reference,-35.13607605,173.3509341
2044,34.329,Reference,-37.35413159,175.2350984
2045,145.671,Reference,-37.35413159,175.2350984
2033,84,Reference,-40.11009607,175.3590425
2039,65,Environmental,-43.70070053,172.2771027
2038,115,Environmental,-37.97620509,176.8288196
2035,111.802,Environmental,-41.09664869,175.4436341
2036,63.198,Environmental,-41.09664869,175.4436341
2037,178.978,Environmental,-44.2630401,170.0323475
2038,99.022,Environmental,-44.2630401,170.0323475
2043,130,Environmental,-41.20010564,173.0218295
2034,160,Environmental,-36.47442858,174.4480525
2036,53,Environmental,-36.67985741,174.4659723
2043,40,Environmental,-39.46630272,176.8721266
2036,61.282,Environmental,-36.41529821,174.4451217
2037,8.718,Environmental,-36.41529821,174.4451217
2035,150,Environmental,-43.4874198,172.5373597
2030,69,Environmental,-35.95352029,173.8448542
2035,30,Environmental,-38.01955354,177.1996879
2036,31,Environmental,-36.81810677,175.6822589
2031,100.251,Environmental,-45.05381993,170.1022222
2033,199.749,Environmental,-45.05381993,170.1022222
2033,95,Environmental,-40.11009607,175.3590425
2029,100,Environmental,-40.95547045,175.578437
2049,42.562,Environmental,-41.11832435,175.4366166
2024,70,Environmental,-39.91801515,176.4181267
2029,100,Environmental,-39.91801515,176.4181267
2039,75,Environmental,-39.45891599,173.868373
2025,12.093,Environmental,-39.45891599,173.868373
2026,67.907,Environmental,-39.45891599,173.868373
2037,130,Environmental,-37.46437595,175.1203935
2027,250,Environmental,-37.9961,176.8099
2042,120,Environmental,-36.07059491,174.3661287
2026,147,Environmental,-37.58814639,175.40966
2033,139.251,Environmental,-44.28009809,170.1832642
2034,280.749,Environmental,-44.28009809,170.1832642
2024,24,Environmental,-35.13607605,173.3509341
2036,180,Environmental,-37.35413159,175.2350984
2041,100.55,Environmental,-43.04180936,172.725049
2042,3.807,Environmental,-43.04180936,172.725049
2043,39.644,Environmental,-43.04180936,172.725049
2030,76,Environmental,-40.11009607,175.3590425
2044,93.342,Environmental,-44.28009809,170.1832642
2045,106.658,Environmental,-44.28009809,170.1832642
2043,131.889,Environmental,-44.28009809,170.1832642
2044,68.111,Environmental,-44.28009809,170.1832642
2045,101.447,Environmental,-44.28009809,170.1832642
2046,98.553,Environmental,-44.28009809,170.1832642
2042,200,Environmental,-37.97620509,176.8288196
2046,78.836,Environmental,-44.28009809,170.1832642
2047,121.164,Environmental,-44.28009809,170.1832642
2047,26.159,Environmental,-44.28009809,170.1832642
2048,140.573,Environmental,-44.28009809,170.1832642
2049,33.267,Environmental,-44.28009809,170.1832642
